Value,StationName,ParameterName,ReadingDate
,Jasper,,2025-10-22T15:00:00-06:00
,Jasper,Wind Direction,2025-10-22T15:00:00-06:00
,Jasper,Fine Particulate Matter,2025-10-22T15:00:00-06:00
,Jasper,Sulphur Dioxide,2025-10-22T15:00:00-06:00
,Jasper,Total Reduced Sulphur,2025-10-22T15:00:00-06:00
,Jasper,Outdoor Temperature,2025-10-22T15:00:00-06:00
,Jasper,Nitric Oxide,2025-10-22T15:00:00-06:00
,Jasper,Ozone,2025-10-22T15:00:00-06:00
,Jasper,Total Oxides of Nitrogen,2025-10-22T15:00:00-06:00
,Jasper,Outdoor Temperature,2025-10-22T14:00:00-06:00
,Jasper,Wind Speed,2025-10-22T14:00:00-06:00
,Jasper,Relative Humidity,2025-10-22T14:00:00-06:00
,Jasper,,2025-10-22T14:00:00-06:00
,Jasper,Nitrogen Dioxide,2025-10-22T14:00:00-06:00
,Jasper,Wind Direction,2025-10-22T14:00:00-06:00
,Jasper,Ozone,2025-10-22T14:00:00-06:00
,Jasper,Sulphur Dioxide,2025-10-22T14:00:00-06:00
,Jasper,Nitric Oxide,2025-10-22T14:00:00-06:00
,Jasper,Total Oxides of Nitrogen,2025-10-22T14:00:00-06:00
,Jasper,Fine Particulate Matter,2025-10-22T14:00:00-06:00
,Jasper,Total Reduced Sulphur,2025-10-22T14:00:00-06:00
,Jasper,Relative Humidity,2025-10-22T13:00:00-06:00
,Jasper,Ozone,2025-10-22T13:00:00-06:00
,Jasper,Total Reduced Sulphur,2025-10-22T13:00:00-06:00
,Jasper,Sulphur Dioxide,2025-10-22T13:00:00-06:00
,Jasper,Total Oxides of Nitrogen,2025-10-22T13:00:00-06:00
,Jasper,Wind Direction,2025-10-22T13:00:00-06:00
,Jasper,Nitric Oxide,2025-10-22T13:00:00-06:00
,Jasper,,2025-10-22T13:00:00-06:00
,Jasper,Fine Particulate Matter,2025-10-22T13:00:00-06:00
,Jasper,Nitrogen Dioxide,2025-10-22T13:00:00-06:00
,Jasper,Outdoor Temperature,2025-10-22T13:00:00-06:00
